category,material_tier,size,labor_hours,complexity_score,quality_score,market_saturation,hourly_wage,material_cost,price
Leatherwork,Standard,Small,10.6,8.83,64.6,0.372,60.1,362.2,2270.0
Leatherwork,Economy,Small,6.1,6.53,63.8,0.643,121.6,252.0,1878.0
Leatherwork,Standard,Medium,6.3,5.24,94.9,0.394,95.6,517.5,2436.0
Leatherwork,Economy,Small,9.7,4.49,51.8,0.266,148.8,252.0,2855.0
BambooCane,Economy,Small,13.5,4.09,75.6,0.331,119.9,84.0,2777.0
Jewelry,Standard,Small,11.5,2.65,32.7,0.875,141.7,483.0,2320.0
Leatherwork,Standard,Medium,18.9,6.24,67.3,0.732,71.0,517.5,3307.0
Textile,Economy,Medium,6.8,0.5,78.8,0.211,147.5,280.0,1988.0
Woodwork,Economy,Medium,4.8,4.76,77.2,0.901,100.3,320.0,1389.0
Leatherwork,Standard,Small,15.7,8.13,57.1,0.172,106.1,362.2,4978.0
Jewelry,Economy,Small,7.3,3.39,85.1,0.709,148.4,336.0,1909.0
Textile,Economy,Large,8.6,0.75,81.3,0.646,74.5,448.0,1324.0
Pottery,Standard,Medium,8.0,2.19,86.4,0.215,113.1,138.0,1881.0
BambooCane,Standard,Medium,10.2,1.18,55.9,0.611,146.7,172.5,2113.0
Textile,Economy,Small,5.4,1.44,67.0,0.122,89.0,196.0,1126.0
Pottery,Premium,Large,20.3,2.8,92.0,0.718,68.5,345.6,2819.0
Leatherwork,Standard,Small,8.8,3.61,43.8,0.269,135.8,362.2,2353.0
Jewelry,Standard,Medium,3.2,0.57,60.1,0.64,74.1,690.0,1201.0
Pottery,Economy,Small,9.4,8.5,75.4,0.409,148.2,67.2,3585.0
Woodwork,Economy,Medium,11.3,4.55,72.9,0.909,117.8,320.0,2425.0
Textile,Premium,Medium,11.4,4.89,79.0,0.411,79.3,630.0,2856.0
Pottery,Standard,Small,7.5,1.91,85.5,0.682,127.6,96.6,1593.0
BambooCane,Standard,Medium,6.3,5.5,77.4,0.212,104.7,172.5,1587.0
Jewelry,Economy,Small,4.5,4.29,100.0,0.836,127.7,336.0,1364.0
Leatherwork,Standard,Small,9.7,4.65,50.4,0.779,137.7,362.2,2322.0
Painting,Premium,Large,5.0,2.45,69.6,0.44,70.7,720.0,1692.0
Textile,Standard,Small,4.6,2.35,43.5,0.46,75.0,281.7,750.0
Textile,Standard,Medium,15.4,6.8,86.6,0.443,112.5,402.5,4001.0
Woodwork,Standard,Small,9.9,8.72,74.1,0.447,148.7,322.0,3975.0
Jewelry,Standard,Medium,7.5,5.89,72.7,0.742,115.6,690.0,2728.0
Woodwork,Economy,Small,6.8,1.0,89.2,0.557,117.3,224.0,1461.0
Leatherwork,Standard,Large,9.0,0.5,77.0,0.155,104.3,828.0,2985.0
BambooCane,Economy,Medium,2.8,0.5,60.7,0.676,80.1,120.0,387.0
Metalware,Economy,Small,7.5,0.82,72.5,0.392,142.9,280.0,1879.0
Textile,Economy,Medium,7.0,5.13,98.7,0.397,62.7,280.0,1608.0
Pottery,Standard,Medium,4.7,3.69,62.2,0.615,67.8,138.0,801.0
BambooCane,Standard,Medium,14.1,5.54,40.8,0.537,67.9,172.5,1419.0
Painting,Economy,Large,8.2,2.6,58.4,0.493,120.2,320.0,1889.0
BambooCane,Standard,Large,12.3,6.31,68.8,0.565,93.2,276.0,2734.0
BambooCane,Economy,Small,5.4,6.33,100.0,0.641,71.2,84.0,986.0
Woodwork,Economy,Large,8.4,3.82,63.4,0.411,121.5,512.0,2681.0
BambooCane,Standard,Medium,1.9,2.79,68.7,0.634,144.6,172.5,562.0
BambooCane,Economy,Large,15.0,2.77,86.6,0.51,127.9,192.0,3245.0
Painting,Premium,Small,16.1,2.02,86.6,0.293,76.3,315.0,2710.0
BambooCane,Standard,Small,12.8,4.0,90.1,0.733,135.4,120.7,2924.0
Textile,Premium,Medium,2.2,7.73,47.2,0.346,100.7,630.0,1654.0
Jewelry,Economy,Medium,2.7,1.69,78.7,0.322,76.6,480.0,1112.0
Leatherwork,Standard,Small,4.7,2.22,55.4,0.234,96.1,362.2,1139.0
Textile,Economy,Small,9.0,5.22,68.1,0.797,113.6,196.0,1784.0
Textile,Standard,Small,3.4,4.09,78.7,0.877,140.7,281.7,1119.0
Woodwork,Standard,Large,3.3,6.34,64.9,0.51,147.7,736.0,2222.0
Woodwork,Economy,Large,13.8,1.7,82.1,0.568,75.5,512.0,1962.0
Textile,Standard,Medium,11.0,3.44,70.5,0.84,98.0,402.5,2187.0
Pottery,Economy,Medium,9.0,3.79,51.7,0.902,144.3,96.0,1560.0
Woodwork,Standard,Small,11.9,6.29,56.3,0.267,67.0,322.0,2642.0
Woodwork,Standard,Small,2.1,7.77,68.6,0.461,122.3,322.0,1178.0
Textile,Standard,Medium,11.5,3.12,53.2,0.782,70.4,402.5,1439.0
Jewelry,Premium,Medium,8.1,3.76,65.1,0.142,88.4,1080.0,3766.0
Textile,Standard,Medium,9.0,2.32,81.6,0.158,95.8,402.5,2194.0
Painting,Standard,Medium,4.4,6.85,56.2,0.449,79.6,287.5,1196.0
BambooCane,Premium,Medium,4.6,4.62,70.1,0.312,106.6,270.0,1579.0
Woodwork,Premium,Small,17.2,3.57,81.5,0.685,139.0,504.0,4308.0
Textile,Economy,Large,6.2,5.06,68.5,0.365,119.6,448.0,2263.0
BambooCane,Standard,Small,9.2,3.82,82.7,0.485,74.3,120.7,1387.0
Painting,Premium,Small,4.6,1.6,81.8,0.138,61.7,315.0,1059.0
Textile,Premium,Small,11.4,4.89,74.9,0.395,115.9,441.0,3199.0
Metalware,Economy,Small,10.0,6.45,70.3,0.118,135.6,280.0,3789.0
Leatherwork,Standard,Medium,7.0,3.41,96.9,0.446,79.2,517.5,2015.0
Woodwork,Standard,Medium,6.9,3.77,96.4,0.075,147.1,460.0,3571.0
Woodwork,Standard,Medium,5.1,6.45,61.8,0.227,66.5,460.0,1622.0
Leatherwork,Standard,Medium,1.0,4.27,67.1,0.634,144.7,517.5,950.0
Textile,Standard,Small,6.8,3.42,56.1,0.291,117.3,281.7,2017.0
BambooCane,Premium,Medium,9.9,1.25,92.3,0.322,118.5,270.0,2294.0
Textile,Premium,Small,10.8,1.35,78.5,0.191,62.8,441.0,1812.0
Painting,Premium,Medium,2.3,5.04,86.3,0.853,113.8,450.0,1110.0
Woodwork,Standard,Small,12.6,2.54,83.7,0.541,147.4,322.0,3540.0
Metalware,Standard,Small,6.7,4.0,52.1,0.409,81.3,402.5,1678.0
Leatherwork,Economy,Small,8.4,3.7,65.6,0.248,126.3,252.0,2290.0
Textile,Standard,Medium,23.1,6.82,65.2,0.167,69.3,402.5,5104.0
Woodwork,Premium,Large,12.4,3.48,40.5,0.719,120.6,1152.0,2978.0
Pottery,Economy,Medium,6.0,2.88,71.6,0.503,131.6,96.0,1390.0
Leatherwork,Standard,Medium,12.3,5.64,71.0,0.498,139.1,517.5,4623.0
Metalware,Standard,Large,13.3,4.07,86.2,0.113,110.7,920.0,5506.0
Textile,Economy,Medium,1.4,5.3,38.3,0.926,90.7,280.0,584.0
Woodwork,Economy,Medium,7.3,0.69,86.7,0.257,145.9,320.0,1980.0
Woodwork,Premium,Medium,18.1,1.06,74.7,0.483,97.2,720.0,3656.0
Textile,Standard,Small,9.7,5.47,79.9,0.355,107.4,281.7,2786.0
Woodwork,Economy,Small,24.9,6.22,83.2,0.411,68.6,224.0,4528.0
Woodwork,Economy,Medium,6.0,4.93,74.2,0.487,116.9,320.0,1962.0
Pottery,Standard,Medium,2.6,2.85,63.3,0.397,66.1,138.0,472.0
Metalware,Economy,Medium,11.5,2.61,69.2,0.134,146.5,400.0,3171.0
Metalware,Standard,Small,4.3,2.46,53.8,0.255,116.1,402.5,1402.0
Pottery,Standard,Large,8.8,7.67,65.9,0.398,134.3,220.8,3031.0
Pottery,Standard,Large,7.5,4.14,76.0,0.659,75.6,220.8,1246.0
Pottery,Economy,Large,12.0,2.91,48.0,0.576,71.0,153.6,1436.0
Leatherwork,Premium,Medium,2.0,2.34,60.1,0.544,130.3,810.0,1401.0
Jewelry,Standard,Medium,7.7,1.89,60.5,0.188,80.9,690.0,2285.0
Woodwork,Economy,Medium,1.0,7.61,68.6,0.745,61.0,320.0,660.0
Painting,Standard,Medium,1.0,6.69,54.1,0.615,118.1,287.5,669.0
Metalware,Premium,Small,3.5,8.03,65.3,0.756,130.8,630.0,2143.0
